seed,method,online_accuracy,cum_regret,regret_per_decision,cumulative_observed_reward,observed_reward_per_decision,online_accuracy_weekday,online_accuracy_on-call,online_accuracy_off-hours,regret_weekday,regret_on-call,regret_off-hours
0,Base,0.2916666666666667,162.29770402549138,0.6762404334395474,58.75,0.24479166666666666,0.25,0.2875,0.3375,62.13028730947184,46.316855234954076,53.85056148106542
0,ICL,0.4,131.85554857042388,0.5493981190434328,-5.0,-0.020833333333333332,0.4,0.4125,0.3875,38.12593476744333,43.374145686442155,50.35546811653839
0,RAG,0.575,78.25227148984573,0.3260511312076905,154.5,0.64375,0.4,0.625,0.7,39.1425105833818,22.70775326069476,16.40200764576918
0,REINFORCE,0.3,160.25969814574466,0.6677487422739361,-55.25,-0.23020833333333332,0.275,0.225,0.4,58.40958099584812,54.49374606453108,47.35637108536552
0,RFT,0.5166666666666667,118.75763358061637,0.4948234732525682,40.5,0.16875,0.325,0.5875,0.6375,52.494097269170425,35.37350042954689,30.890035881898996
0,Online-SDFT,0.6875,43.65076131245935,0.1818781721352473,224.0,0.9333333333333333,0.4875,0.775,0.8,30.84377690813586,7.819245369756544,4.987739034566966
1,Base,0.29583333333333334,164.70138364855538,0.6862557652023141,92.25,0.384375,0.2375,0.3375,0.3125,68.07614836091025,40.30878496328678,56.31645032435841
1,ICL,0.4083333333333333,131.72141815317264,0.548839242304886,15.5,0.06458333333333334,0.4125,0.4375,0.375,40.58532007922836,41.062145406088234,50.07395266785607
1,RAG,0.4666666666666667,109.82129123304189,0.4575887134710079,83.25,0.346875,0.4125,0.4375,0.55,40.58532007922836,37.27333915928826,31.96263199452528
1,REINFORCE,0.3333333333333333,155.73932744763152,0.6489138643651313,18.5,0.07708333333333334,0.3,0.35,0.35,57.35021089439559,40.74447273835046,57.64464381488555
1,RFT,0.5541666666666667,91.67929802548132,0.38199707510617215,144.75,0.603125,0.425,0.55,0.6875,44.206234882941544,22.209980476164844,25.263082666374935
1,Online-SDFT,0.6916666666666667,49.238015940324345,0.20515839975135144,248.5,1.0354166666666667,0.475,0.7625,0.8375,38.49224922712778,7.991319278340035,2.7544474348565435
2,Base,0.25833333333333336,166.999691106149,0.6958320462756208,33.25,0.13854166666666667,0.2375,0.25,0.2875,59.42061792869041,49.51767007115448,58.061403106304105
2,ICL,0.4583333333333333,130.87316421373902,0.5453048508905792,-4.5,-0.01875,0.5,0.425,0.45,38.546992921213395,46.92215646791912,45.40401482460642
2,RAG,0.4583333333333333,131.78946420177525,0.5491227675073969,-10.0,-0.041666666666666664,0.475,0.4,0.5,39.486533500863416,47.76584777644068,44.5370829244711
2,REINFORCE,0.32916666666666666,157.97710996271655,0.6582379581779857,-27.75,-0.115625,0.25,0.35,0.3875,50.60818605597863,54.682753546089984,52.68617036064777
2,RFT,0.5125,105.34329081198706,0.4389303783832794,76.5,0.31875,0.4375,0.5125,0.5875,43.08353431306563,32.6719160285103,29.587840470411127
2,Online-SDFT,0.7291666666666666,41.399400990504816,0.1724975041271034,214.75,0.8947916666666667,0.5875,0.7875,0.8125,24.598526088947484,10.42696777271582,6.373907128841501
